time_s,pelvis_flex_deg(Z),pelvis_abd_deg(X),pelvis_rot_deg(Y)
0.016802,-1.212,-0.850,-4.441
0.033604,-1.359,-0.833,-4.195
0.050407,-1.544,-0.756,-3.945
0.067209,-1.507,-0.861,-3.607
0.084011,-1.519,-1.035,-3.287
0.100813,-1.741,-1.527,-2.885
0.117616,-2.137,-2.080,-2.411
0.134418,-2.345,-2.681,-1.778
0.151220,-2.471,-3.383,-1.194
0.168022,-2.562,-4.183,-0.685
0.184825,-2.361,-5.144,-0.134
0.201627,-1.933,-6.256,0.471
0.218429,-1.428,-7.414,1.140
0.235231,-0.827,-8.471,1.810
0.252034,-0.309,-9.396,2.319
0.268836,0.314,-10.172,2.857
0.285638,0.945,-10.682,3.328
0.302440,1.584,-11.020,3.805
0.319243,2.049,-11.106,4.092
0.336045,2.404,-10.907,4.260
0.352847,2.629,-10.402,4.289
0.369649,2.485,-9.437,3.864
0.386451,2.321,-8.232,3.371
0.403254,2.389,-6.681,2.937
0.420056,2.506,-4.994,2.507
0.436858,2.719,-3.338,2.134
0.453660,2.807,-1.651,1.647
0.470463,2.916,-0.127,1.156
0.487265,2.874,1.234,0.534
0.504067,2.790,2.372,-0.132
0.520869,2.796,3.210,-0.616
0.537672,2.681,3.805,-1.156
0.554474,2.423,4.196,-1.702
0.571276,2.110,4.453,-2.234
0.588078,1.618,4.643,-2.793
0.604881,1.025,4.762,-3.372
0.621683,0.315,4.769,-3.939
0.638485,-0.502,4.719,-4.539
0.655287,-1.318,4.647,-5.119
0.672090,-2.034,4.546,-5.595
0.688892,-2.525,4.523,-5.761
0.705694,-2.850,4.523,-5.637
0.722496,-3.028,4.419,-5.382
0.739298,-2.917,4.135,-4.990
0.756101,-2.675,3.676,-4.404
0.772903,-2.243,3.207,-3.660
0.789705,-1.624,2.710,-2.776
0.806507,-1.052,2.144,-1.807
0.823310,-0.620,1.497,-0.795
0.840112,-0.381,0.708,0.022
0.856914,-0.245,-0.223,0.616
0.873716,-0.163,-1.172,1.092
0.890519,-0.153,-2.061,1.451
0.907321,-0.050,-2.837,1.698
0.924123,0.046,-3.574,1.858
0.940925,0.125,-4.252,1.952
0.957728,0.317,-4.826,2.050
0.974530,0.746,-5.392,2.229
0.991332,1.255,-6.003,2.536
1.008134,1.812,-6.583,2.934
1.024937,2.328,-7.182,3.304
1.041739,2.830,-7.866,3.702
1.058541,3.240,-8.351,4.025
1.075343,3.678,-8.782,4.413
1.092145,4.122,-8.958,4.814
1.108948,4.571,-8.920,5.151
1.125750,4.689,-8.378,5.025
1.142552,4.711,-7.470,4.669
1.159354,4.770,-6.281,4.180
1.176157,4.753,-4.838,3.624
1.192959,4.732,-3.169,3.017
1.209761,4.654,-1.593,2.342
1.226563,4.464,-0.020,1.519
1.243366,4.247,1.332,0.699
1.260168,3.964,2.452,-0.121
1.276970,3.797,3.139,-0.685
1.293772,3.663,3.539,-1.205
1.310575,3.374,3.707,-1.745
1.327377,2.995,3.755,-2.351
1.344179,2.439,3.756,-2.972
1.360981,1.806,3.770,-3.515
1.377784,1.044,3.802,-4.103
1.394586,0.247,3.866,-4.500
1.411388,-0.477,4.035,-4.794
1.428190,-1.129,4.193,-4.945
1.444992,-1.654,4.446,-4.875
1.461795,-2.067,4.741,-4.615
1.478597,-2.261,4.939,-4.155
1.495399,-2.307,4.970,-3.639
1.512201,-2.340,4.846,-2.940
1.529004,-2.175,4.657,-2.110
1.545806,-1.957,4.303,-1.375
1.562608,-1.887,3.822,-0.669
1.579410,-1.938,3.304,-0.053
1.596213,-2.045,2.651,0.459
1.613015,-2.138,1.883,0.809
1.629817,-2.219,1.087,1.097
1.646619,-2.185,0.345,1.370
1.663422,-1.853,-0.429,1.615
1.680224,-1.379,-1.310,1.960
1.697026,-0.778,-2.181,2.348
1.713828,0.067,-3.147,2.917
1.730631,0.948,-4.021,3.485
1.747433,1.755,-4.858,3.971
1.764235,2.539,-5.592,4.503
1.781037,3.222,-6.127,4.941
1.797839,3.761,-6.426,5.256
1.814642,4.200,-6.524,5.495
1.831444,4.513,-6.337,5.625
1.848246,4.662,-5.923,5.658
1.865048,4.621,-5.191,5.325
1.881851,4.487,-4.258,4.861
1.898653,4.456,-3.136,4.391
1.915455,4.401,-1.853,3.857
1.932257,4.394,-0.574,3.334
1.949060,4.356,0.637,2.698
1.965862,4.160,1.789,1.871
1.982664,3.903,2.801,0.986
1.999466,3.668,3.664,0.062
2.016269,3.449,4.279,-0.760
2.033071,3.242,4.622,-1.500
2.049873,2.863,4.795,-2.254
2.066675,2.369,4.791,-3.002
2.083477,1.693,4.724,-3.738
2.100280,0.895,4.596,-4.355
2.117082,0.016,4.497,-4.871
2.133884,-0.851,4.444,-5.185
2.150686,-1.750,4.490,-5.403
2.167489,-2.527,4.582,-5.443
2.184291,-2.977,4.640,-5.169
2.201093,-3.266,4.716,-4.716
2.217895,-3.410,4.752,-4.175
2.234698,-3.283,4.776,-3.539
2.251500,-3.015,4.639,-2.763
2.268302,-2.614,4.392,-1.893
2.285104,-2.341,4.049,-1.120
2.301907,-2.045,3.596,-0.339
2.318709,-1.902,2.963,0.397
2.335511,-2.120,2.306,0.869
2.352313,-2.324,1.611,1.274
2.369116,-2.486,0.946,1.597
2.385918,-2.631,0.214,1.855
2.402720,-2.612,-0.450,2.058
2.419522,-2.413,-1.112,2.271
2.436324,-1.950,-1.779,2.480
2.453127,-1.286,-2.499,2.764
2.469929,-0.576,-3.067,2.997
2.486731,0.336,-3.658,3.282
2.503533,1.264,-4.224,3.578
2.520336,2.203,-4.817,3.965
2.537138,3.133,-5.345,4.436
2.553940,3.811,-5.628,4.745
2.570742,4.340,-5.806,4.965
2.587545,4.727,-5.793,5.071
2.604347,4.907,-5.613,5.018
2.621149,5.117,-5.235,4.965
2.637951,5.162,-4.664,4.788
2.654754,5.221,-3.977,4.588
2.671556,5.221,-3.187,4.336
2.688358,5.173,-2.360,3.987
2.705160,5.165,-1.658,3.649
2.721963,5.068,-0.933,3.245
2.738765,4.895,-0.303,2.808
2.755567,4.693,0.267,2.304
2.772369,4.509,0.666,1.793
2.789171,4.349,0.902,1.199
2.805974,4.041,0.967,0.524
2.822776,3.659,0.993,-0.158
2.839578,3.036,1.013,-0.942
2.856380,2.312,1.034,-1.681
2.873183,1.535,0.983,-2.454
2.889985,0.769,0.917,-3.092
2.906787,-0.060,0.867,-3.687
2.923589,-0.939,0.832,-4.193
2.940392,-1.530,0.806,-4.269
2.957194,-1.951,0.860,-4.306
2.973996,-2.312,0.983,-4.098
2.990798,-2.577,1.130,-3.743
3.007601,-2.428,1.063,-3.224
3.024403,-2.186,0.933,-2.657
3.041205,-2.019,0.714,-2.074
3.058007,-1.742,0.438,-1.381
3.074810,-1.463,0.113,-0.678
3.091612,-1.388,-0.247,-0.169
3.108414,-1.296,-0.651,0.413
3.125216,-1.137,-1.151,0.792
3.142018,-0.812,-1.719,1.198
3.158821,-0.616,-2.150,1.540
3.175623,-0.277,-2.536,2.034
3.192425,0.262,-2.889,2.592
3.209227,0.862,-3.290,3.148
3.226030,1.486,-3.706,3.656
3.242832,2.019,-4.096,4.016
3.259634,2.386,-4.454,4.178
